TeamId,TeamName,SubmissionDate,Score
31750,statIsFun,"2012-12-28 06:31:01",0.76076
31782,98074,"2012-12-28 20:39:54",0.00000
31750,statIsFun,"2013-02-06 19:02:52",0.77511
34352,odedha,"2013-02-09 20:37:12",0.76555
34454,"Raghavendra Rao","2013-02-11 17:35:40",0.77033
34454,"Raghavendra Rao","2013-02-18 17:00:18",0.78468
34454,"Raghavendra Rao","2013-02-20 17:17:28",0.78947
39178,Hope_the_Best,"2013-04-09 13:24:34",0.76555
39178,Hope_the_Best,"2013-04-09 14:38:50",0.77990
39482,"Dominic White","2013-04-11 18:53:59",0.76555
39178,Hope_the_Best,"2013-04-13 18:53:55",0.79425
39570,Miguel,"2013-04-18 22:16:18",0.77990
42343,"Aidan Kelleher","2013-05-04 11:11:54",0.76555
46567,js942,"2013-06-09 00:59:21",0.77990
49829,"Mark Cheeseman","2013-06-16 13:04:20",0.77990
51885,"Garret Vo","2013-07-21 21:12:00",0.69377
53751,"Arnaud Bouchard","2013-07-22 13:29:39",0.76555
31750,statIsFun,"2013-08-07 21:06:07",0.78468
54939,"Philip Charles Stevens","2013-08-09 16:05:50",0.76555
64703,dominic,"2013-11-11 09:32:35",0.72248
65760,"Alan Chalk","2013-11-18 22:35:18",0.76555
31750,statIsFun,"2014-01-07 03:57:50",0.78947
31750,statIsFun,"2014-01-08 04:05:39",0.80382
80437,SK004,"2014-03-09 12:58:08",0.73684
83777,"Akbar Thobani","2014-03-28 03:28:11",0.62679
83777,"Akbar Thobani","2014-03-29 15:52:00",0.76555
83777,"Akbar Thobani","2014-03-29 16:23:01",0.77990
83777,"Akbar Thobani","2014-03-29 16:37:46",0.78468
88321,"Saravana Kumar Rajasekaran","2014-04-17 10:04:22",0.76555
88321,"Saravana Kumar Rajasekaran","2014-04-17 10:12:53",0.77990
88321,"Saravana Kumar Rajasekaran","2014-04-18 09:24:12",0.78468
89702,"g p","2014-04-23 08:20:38",0.74641
89702,"g p","2014-04-23 08:25:48",0.78468
89702,"g p","2014-04-23 12:42:00",0.78947
60878,"Jeff Moser","2014-06-16 16:11:29",0.76555
60878,"Jeff Moser","2014-06-16 16:44:13",0.78947
109093,nel.d,"2014-08-01 06:38:01",0.59330
111452,Teots,"2014-08-10 08:39:21",0.78468
111452,Teots,"2014-08-10 09:18:49",0.81339
112402,"Artyom Fedosov","2014-08-16 08:25:35",0.77990
112402,"Artyom Fedosov","2014-08-16 18:03:03",0.78468
113681,"Michael Reynolds","2014-08-21 02:16:28",0.77990
115014,RReader,"2014-08-30 19:31:57",0.76555
116840,蔡忠廷,"2014-09-12 07:40:05",0.76555
116840,蔡忠廷,"2014-09-12 08:41:55",0.77033
121525,mglissmann,"2014-10-15 03:35:48",0.76555
